4桁番号,講座名
9674,6
937,4
7761,8
275,4
6330,12
2674,14
46,13
803,11
9605,7
9043,10
2038,3
3562,10
4308,8
7742,9
9198,7
7597,2
2701,16
4656,4
2858,4
5952,15
8576,16
2063,14
7589,14
8859,16
1443,16
9157,7
5758,3
441,9
636,4
9389,15
6016,12
649,4
5910,12
9098,15
8326,16
3335,6
8585,11
4673,14
1696,6
3393,11
5011,10
3630,7
4105,5
8970,8
9623,5
7154,1
2005,11
7702,9
9756,15
9080,10
2974,5
2175,13
4953,14
7859,10
7614,12
9555,4
1543,16
4762,12
3273,4
8856,2
2437,2
502,14
3671,12
1260,1
3851,10
9256,2
1565,7
6617,4
1080,7
5896,10
948,7
4949,5
1148,15
8818,7
6362,4
6440,7
8693,12
7192,1
5537,5
5462,11
7768,1
927,8
1544,7
4103,7
6978,4
506,16
3219,9
8445,8
9271,7
9030,12
799,4
3501,8
9506,16
4243,8
6841,1
5991,16
9165,10
2476,8
1752,15
2768,12
626,7
1277,4
5703,5
1168,14
7669,13
8305,15
2992,16
3790,1
9270,15
538,10
8345,4
3148,4
4494,10
3371,3
5373,11
7711,14
6488,7
4884,15
6015,16
7339,16
6850,13
3261,9
3842,8
2524,10
2673,15
5082,6
5190,7
6669,6
1910,2
4311,7
295,15
5184,10
9393,14
6113,14
6158,6
4106,6
8709,2
8507,12
8971,15
9759,10
8154,12
7395,3
5565,12
4146,12
8383,8
8463,11
2605,15
8637,9
2747,16
5926,9
9325,10
5702,4
8739,6
9762,6
5961,1
1485,5
6684,4
232,14
9713,5
8309,6
3571,10
4503,14
7487,4
9743,12
8390,12
4845,15
6212,16
8261,1
9575,7
9831,10
376,12
4022,10
2521,15
5590,9
9670,5
4703,12
4133,2
7117,6
6274,4
2946,4
2086,16
6280,10
5105,16
769,4
5331,10
8536,4
4857,2
1369,11
9094,8
272,6
9814,6
4498,5
525,4
3079,8
6862,1
8571,1
6394,6
7081,13
5100,12
3597,3
1239,14
6698,12
4223,14
233,3
7762,11
3645,3
822,11
5017,14
9381,3
3547,6
9360,15
1973,16
4948,10
5748,12
5630,7
1194,8
7259,1
8867,9
9474,6
6695,14
6112,15
1077,14
7374,2
3845,2
1703,7
6144,3
9736,2
931,15
5155,2
4247,16
9801,14
8743,6
1037,16
5251,12
2960,10
3494,16
7055,4
1534,11
8344,4
900,2
7304,8
9512,7
603,16
6449,3
915,8
6952,16
8643,14
5979,2
9914,3
4785,15
6569,15
9074,1
6805,10
8532,12
4406,10
4679,10
9055,15
338,6
7376,5
5177,10
2378,10
2624,7
1747,14
5741,2
9705,12
6189,16
868,4
5338,15
8243,8
6642,12
6535,16
1259,1
6026,10
3057,4
4526,1
8959,15
9657,4
4438,12
772,12
8342,7
2994,13
7779,16
1641,14
3118,15
262,15
8727,13
1608,3
1050,4
9530,12
4118,4
4234,4
2970,5
9915,11
7185,8
9673,11
1305,1
3293,3
5738,9
4740,3
7791,9
2236,14
1423,7
661,3
3980,10
1568,6
3086,1
4441,6
913,12
2345,8
1018,4
9143,5
8628,3
1682,3
6605,7
9147,16
8466,9
6170,6
230,11
3128,2
1440,1
8871,7
2924,16
3152,15
6225,7
7637,15
2212,3
9023,4
3236,6
1532,14
1370,4
9936,7
6197,13
9444,15
2936,7
530,14
6965,8
5405,8
8587,1
714,7
1381,1
4089,10
7595,8
9811,10
9435,8
4033,8
1309,11
1225,14
8848,6
8365,2
3784,16
4197,9
1416,5
1372,3
1855,9
408,4
6169,16
7953,16
3182,3
6724,11
680,13
6118,11
3067,14
2015,15
2239,3
4941,16
2680,12
7143,15
1313,11
1449,9
6939,7
8991,3
957,7
3835,14
3040,2
6487,6
907,6
2814,11
3153,14
4663,3
9941,14
3679,6
8303,12
2209,8
4267,10
4584,12
8352,9
2353,4
9048,2
7425,9
5,12
6593,7
4592,16
7713,7
7764,4
3634,1
3911,1
6108,5
6725,2
950,15
7945,14
5324,16
856,3
1095,12
3014,6
9399,14
6786,5
2331,8
484,1
3205,11
6612,16
487,6
5000,2
4244,16
2707,13
3555,9
9131,14
993,2
1412,6
9619,8
9033,3
6404,1
3407,4
2753,8
9250,15
3409,5
3451,13
1936,3
4554,9
7830,4
4531,14
2187,8
5248,4
6328,6
2910,14
9561,10
1113,3
404,5
8208,16
6309,2
4104,4
1778,6
6581,14
9333,7
2953,2
6582,1
3519,4
6075,9
2686,2
7527,4
3623,15
3488,15
1727,14
3818,15
7718,1
4062,2
1820,11
3147,12
3958,6
7643,4
3183,15
5344,12
3658,7
319,6
6401,9
861,15
3793,12
5255,9
2667,12
583,7
8880,7
3702,13
7493,9
9317,2
8377,7
3081,8
1114,3
7049,3
2723,11
4717,15
6557,4
6700,1
5585,14
5751,11
4001,16
